analysis_pair,pair_label,removed_model,removed_org,full_rho,leave_one_out_rho,delta_rho_minus_full,abs_delta_rho,removed_source_score,removed_transfer_score,is_estimated
math_math500,GSM8K -> MATH-500,GPT-5,OpenAI,0.14939024390243902,-0.17226890756302524,-0.32165915146546425,0.32165915146546425,99.4,99.4,False
math_math500,GSM8K -> MATH-500,o3,OpenAI,0.14939024390243902,-0.10878756313824399,-0.258177807040683,0.258177807040683,99.0,99.2,True
math_math500,GSM8K -> MATH-500,LongCat-Flash-Thinking,Meituan,0.14939024390243902,0.35,0.20060975609756096,0.20060975609756096,95.0,99.2,True
math_zscore,GSM8K -> MATH-500/AIME (z),GPT-5,OpenAI,0.22470913212714755,0.05402428862388761,-0.17068484350325994,0.17068484350325994,99.4,0.7497648178587208,False
math_zscore,GSM8K -> MATH-500/AIME (z),Grok-3 Mini,xAI,0.22470913212714755,0.06063950763905752,-0.16406962448809004,0.16406962448809004,98.0,1.5511082416060074,True
math_math500,GSM8K -> MATH-500,Nemotron Nano 9B v2,NVIDIA,0.14939024390243902,0.3067226890756303,0.15733244517319125,0.15733244517319125,95.4,97.8,False
math_math500,GSM8K -> MATH-500,GLM-4.5,Zhipu AI,0.14939024390243902,0.2928895930645031,0.14349934916206405,0.14349934916206405,95.0,98.2,True
math_zscore,GSM8K -> MATH-500/AIME (z),o3,OpenAI,0.22470913212714755,0.08149799505640974,-0.1432111370707378,0.1432111370707378,99.0,0.7309028098622748,True
math_zscore,GSM8K -> MATH-500/AIME (z),LongCat-Flash-Thinking,Meituan,0.22470913212714755,0.3586360806046545,0.13392694847750697,0.13392694847750697,95.0,0.7309028098622748,True
knowledge,MMLU -> GPQA Diamond,Gemini 3 Flash,Google,0.7345847437289974,0.8272832288794485,0.0926984851504511,0.0926984851504511,88.0,90.4,True
math_zscore,GSM8K -> MATH-500/AIME (z),GLM-4.5,Zhipu AI,0.22470913212714755,0.30837004405286345,0.0836609119257159,0.0836609119257159,95.0,0.636592769880046,True
math_zscore,GSM8K -> MATH-500/AIME (z),Nemotron Nano 9B v2,NVIDIA,0.22470913212714755,0.29658231918011774,0.07187318705297019,0.07187318705297019,95.4,0.5988687538871539,False
knowledge,MMLU -> GPQA Diamond,Gemini 3.1 Pro,Google,0.7345847437289974,0.6820686195548645,-0.05251612417413287,0.05251612417413287,92.6,94.3,False
math_zscore,GSM8K -> MATH-500/AIME (z),Claude 3.5 Sonnet,Anthropic,0.22470913212714755,0.27673666213460796,0.05202753000746041,0.05202753000746041,96.4,-1.3533490737449831,False
math_zscore,GSM8K -> MATH-500/AIME (z),Claude Opus 4,Anthropic,0.22470913212714755,0.27673666213460796,0.05202753000746041,0.05202753000746041,96.2,-1.2958625815949067,True
math_zscore,GSM8K -> MATH-500/AIME (z),Llama 3.1 405B,Meta,0.22470913212714755,0.27232651612449466,0.04761738399734711,0.04761738399734711,96.8,-1.079849957796519,True
knowledge,MMLU -> GPQA Diamond,Claude Opus 4.7,Anthropic,0.7345847437289974,0.6879120879120879,-0.04667265581690949,0.04667265581690949,92.0,94.2,True
knowledge,MMLU -> GPQA Diamond,GPT-5.5,OpenAI,0.7345847437289974,0.6886692836150728,-0.045915460113924556,0.045915460113924556,93.0,93.6,True
knowledge,MMLU -> GPQA Diamond,GPT-5.4,OpenAI,0.7345847437289974,0.6923076923076923,-0.04227705142130511,0.04227705142130511,92.0,92.0,True
math_math500,GSM8K -> MATH-500,o4-mini,OpenAI,0.14939024390243902,0.18907563025210086,0.039685386349661844,0.039685386349661844,96.0,96.2,True
knowledge,MMLU -> GPQA Diamond,Claude Opus 4.6,Anthropic,0.7345847437289974,0.6952699476752813,-0.03931479605371613,0.03931479605371613,91.1,91.3,False
knowledge,MMLU -> GPQA Diamond,Grok 3 Mini,xAI,0.7345847437289974,0.770077473690976,0.03549272996197861,0.03549272996197861,90.0,59.1,True
code,HumanEval -> LiveCodeBench,Grok 4,xAI,-0.74371922210914,-0.7789196616315383,-0.035200439522398264,0.035200439522398264,97.0,79.4,False
code,HumanEval -> LiveCodeBench,GPT-5.3 Codex,OpenAI,-0.74371922210914,-0.7099080925640074,0.033811129545132546,0.033811129545132546,93.0,85.0,False
knowledge,MMLU -> GPQA Diamond,Claude 3.5 Sonnet,Anthropic,0.7345847437289974,0.7656770309841704,0.03109228725517299,0.03109228725517299,88.3,59.4,False
knowledge,MMLU -> GPQA Diamond,GPT-4o,OpenAI,0.7345847437289974,0.7656770309841704,0.03109228725517299,0.03109228725517299,87.2,68.8,False
math_zscore,GSM8K -> MATH-500/AIME (z),Gemini 2.5 Pro,Google,0.22470913212714755,0.25468593208404156,0.029976799956894007,0.029976799956894007,95.7,-0.3141485046290738,False
math_zscore,GSM8K -> MATH-500/AIME (z),Kimi K2-Instruct,Moonshot AI,0.22470913212714755,0.1951489609475124,-0.029560171179635136,0.029560171179635136,97.3,0.5611447378942632,False
code,HumanEval -> LiveCodeBench,GPT-5.2,OpenAI,-0.74371922210914,-0.7730254407187372,-0.029306218609597257,0.029306218609597257,94.0,79.0,True
code,HumanEval -> LiveCodeBench,Claude Sonnet 4.5,Anthropic,-0.74371922210914,-0.7148527592174719,0.028866462891668054,0.028866462891668054,97.6,71.4,False
code,HumanEval -> LiveCodeBench,DeepSeek-R1-0528,DeepSeek,-0.74371922210914,-0.7148527592174719,0.028866462891668054,0.028866462891668054,97.4,73.1,False
code,HumanEval -> LiveCodeBench,GLM-4.7,Zhipu AI,-0.74371922210914,-0.7151592448974204,0.028559977211719545,0.028559977211719545,93.0,84.9,True
knowledge,MMLU -> GPQA Diamond,GPT-5.2,OpenAI,0.7345847437289974,0.7062710544422951,-0.028313689286702304,0.028313689286702304,91.0,92.4,True
math_math500,GSM8K -> MATH-500,Llama 3.1 405B,Meta,0.14939024390243902,0.17226890756302524,0.022878663660586218,0.022878663660586218,96.8,80.0,True
math_math500,GSM8K -> MATH-500,Claude 3.5 Sonnet,Anthropic,0.14939024390243902,0.17226890756302524,0.022878663660586218,0.022878663660586218,96.4,77.1,False
math_zscore,GSM8K -> MATH-500/AIME (z),DeepSeek-R1-0528,DeepSeek,0.22470913212714755,0.24145549405370179,0.016746361926554237,0.016746361926554237,95.3,-0.6086627277188209,False
math_zscore,GSM8K -> MATH-500/AIME (z),o4-mini,OpenAI,0.22470913212714755,0.24118942731277535,0.016480295185627797,0.016480295185627797,96.0,0.4479726899155883,True
math_zscore,GSM8K -> MATH-500/AIME (z),Gemma 3 27B,Google,0.22470913212714755,0.2105844719829089,-0.01412466014423866,0.01412466014423866,95.9,-2.0229503576188073,True
knowledge,MMLU -> GPQA Diamond,Llama 3.1 405B,Meta,0.7345847437289974,0.7480752601569483,0.01349051642795085,0.01349051642795085,88.6,41.3,False
knowledge,MMLU -> GPQA Diamond,DeepSeek V3,DeepSeek,0.7345847437289974,0.7480752601569483,0.01349051642795085,0.01349051642795085,88.5,57.4,False
code,HumanEval -> LiveCodeBench,Gemini 2.5 Pro 06-05,Google,-0.74371922210914,-0.7570245941941613,-0.01330537208502136,0.01330537208502136,95.0,73.6,True
