Model Variant,Organization,HE pass@1,LCB-v6 pass@1,Release Month,Cutoff
DeepSeek-V4-Pro-Max,DeepSeek,0.900,0.935,2026-04,2026-02 15
Gemini 3.1 Pro Preview,Google,0.950,0.917,2026-02,2025-01 5
Kimi K2.6,Moonshot AI,0.945,0.896,2026-04,2025-06 5
Claude Opus 4.6 (Max),Anthropic,0.922,0.888,2026-02,2025-08 15
Seed 2.0 Pro,ByteDance,0.910,0.878,2026-02,2023-12 5
Qwen3.6 Plus,Alibaba,0.927,0.871,2026-03,2025-06 5
Step-3.5-Flash,StepFun,0.921,0.864,2026-04,2025-04 5
GPT-5.2 Codex,OpenAI,0.934,0.879,2025-12,2025-08 6
Kimi K2.5,Moonshot AI,0.933,0.850,2025-07,2025-06 5
GLM-4.7,Zhipu AI,0.921,0.849,2026-04,2025-12 5
Claude Opus 4.5,Anthropic,0.913,0.848,2025-11,2025-08 15
Qwen3.6-27B,Alibaba,0.915,0.839,2026-04,2025-06 5
Qwen3.5-397B-A17B,Alibaba,0.963,0.836,2026-01,2025-06 5
Kimi K2-Thinking-0905,Moonshot AI,0.945,0.831,2025-09,2025-06 5
GLM-4.6,Zhipu AI,0.910,0.828,2025-12,2025-12 5
o4-mini,OpenAI,0.973,0.826,2025-04,2024-06 13
GPT OSS 120B High,OpenAI,0.905,0.819,2025-04,2024-06 5
Seed 2.0 Lite,ByteDance,0.900,0.817,2026-02,2023-12 5
K-EXAONE-236B-A23B,LG AI Research,0.900,0.807,2025-09,2025-06 5
MiMo-V2-Flash,Xiaomi,0.900,0.806,2025-12,2025-12 5
Qwen3.6-35B-A3B,Alibaba,0.910,0.804,2026-04,2025-06 5
Gemma 4 31B,Google,0.920,0.800,2026-04,2025-01 5
MiniCPM-SALA,OpenBMB,0.951,0.520,2025-12,2025-06 5
Claude 3.5 Sonnet,Anthropic,0.937,0.364,2024-10,2024-04 12
o3-mini (High),OpenAI,0.963,0.674,2025-01,2023-10 13
o1-mini,OpenAI,0.924,0.538,2024-09,2023-10 12
Sarvam-105B,Sarvam AI,0.900,0.717,2025-12,2025-06 5
DeepSeek-V3,DeepSeek,0.902,0.272,2024-12,2024-12 13
Mistral Large 2,Mistral AI,0.920,0.276,2024-07,2024-07 12
Qwen2.5-Coder 32B,Alibaba,0.927,0.314,2024-09,2024-09 12
