model,organization,humaneval,lcb_v6,release_month,training_cutoff,report_source_ref,report_source_title,report_source_url,provenance_note
DeepSeek-V4-Pro-Max,DeepSeek,90.0,93.5,2026-04,2026-02,15,"The Closing Window. The benchmark gap narrowed, Prices… | by Satyajith Mundakkal | Apr, 2026 | Medium",https://medium.com/@jithprime/the-closing-window-98732562e9b5,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Gemini 3.1 Pro Preview,Google,95.0,91.7,2026-02,2025-01,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Kimi K2.6,Moonshot AI,94.5,89.60000000000001,2026-04,2025-06,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Claude Opus 4.6 (Max),Anthropic,92.2,88.8,2026-02,2025-08,15,"The Closing Window. The benchmark gap narrowed, Prices… | by Satyajith Mundakkal | Apr, 2026 | Medium",https://medium.com/@jithprime/the-closing-window-98732562e9b5,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Seed 2.0 Pro,ByteDance,91.0,87.8,2026-02,2023-12,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Qwen3.6 Plus,Alibaba,92.7,87.1,2026-03,2025-06,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Step-3.5-Flash,StepFun,92.10000000000001,86.4,2026-04,2025-04,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
GPT-5.2 Codex,OpenAI,93.4,87.9,2025-12,2025-08,6,LiveCodeBench - Vals AI,https://www.vals.ai/benchmarks/lcb,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Kimi K2.5,Moonshot AI,93.30000000000001,85.0,2025-07,2025-06,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
GLM-4.7,Zhipu AI,92.10000000000001,84.89999999999999,2026-04,2025-12,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Claude Opus 4.5,Anthropic,91.3,84.8,2025-11,2025-08,15,"The Closing Window. The benchmark gap narrowed, Prices… | by Satyajith Mundakkal | Apr, 2026 | Medium",https://medium.com/@jithprime/the-closing-window-98732562e9b5,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
Qwen3.6-27B,Alibaba,91.5,83.89999999999999,2026-04,2025-06,5,LiveCodeBench v6 Leaderboard - LLM Stats,https://llm-stats.com/benchmarks/livecodebench-v6,"Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
